county,TAZ,tm15,link21,jobs
6075,45,HEREMPN,HIED,6
6075,45,HEREMPN,HMED,14
6075,45,HEREMPN,PERS,2
6075,45,HEREMPN,RECS,5
6075,45,HEREMPN,SOCS,6
6075,45,MWTEMPN,WTWT,4
6075,45,OTHEMPN,FIRE,44
6075,45,RETEMPN,RETL,6
6075,45,RETEMPN,RETR,7
6075,46,FPSEMPN,FIRE,90
6075,46,HEREMPN,PERS,59
6075,46,HEREMPN,RECS,79
6075,46,HEREMPN,SOCS,7
6075,46,MWTEMPN,WTWT,12
6075,46,OTHEMPN,FIRE,132
6075,46,OTHEMPN,CONS,66
6075,46,RETEMPN,RETL,6
6075,47,FPSEMPN,FIRE,14
6075,47,HEREMPN,PERS,8
6075,47,HEREMPN,RECS,26
6075,47,HEREMPN,SOCS,5
6075,47,MWTEMPN,MFRG,3
6075,47,MWTEMPN,WTWT,2
6075,47,OTHEMPN,CONS,39
6075,47,RETEMPN,RETL,32
6075,48,FPSEMPN,FIRE,69
6075,48,HEREMPN,PERS,22
6075,48,HEREMPN,RECS,130
6075,48,MWTEMPN,MFRG,10
6075,48,MWTEMPN,WTWT,2
6075,48,OTHEMPN,CONS,142
6075,48,RETEMPN,RETL,94
6075,48,RETEMPN,RETR,36
6075,49,FPSEMPN,FIRE,58
6075,49,HEREMPN,HIED,1
6075,49,HEREMPN,HMED,29
6075,49,HEREMPN,PERS,14
6075,49,HEREMPN,RECS,71
6075,49,MWTEMPN,MFRG,12
6075,49,OTHEMPN,CONS,131
6075,49,RETEMPN,RETL,45
6075,49,RETEMPN,RETR,24
6075,50,FPSEMPN,FIRE,115
6075,50,HEREMPN,HIED,6
6075,50,HEREMPN,HMED,81
6075,50,HEREMPN,K12E,24
6075,50,HEREMPN,PERS,60
6075,50,HEREMPN,RECS,38
6075,50,HEREMPN,SOCS,4
6075,50,MWTEMPN,MFRG,14
6075,50,MWTEMPN,WTWT,14
6075,50,OTHEMPN,CONS,205
6075,50,RETEMPN,RETL,70
6075,51,FPSEMPN,FIRE,280
6075,51,HEREMPN,HIED,34
6075,51,HEREMPN,HMED,64
6075,51,HEREMPN,PERS,54
6075,51,HEREMPN,RECS,290
6075,51,HEREMPN,SOCS,20
6075,51,MWTEMPN,MFRG,42
6075,51,MWTEMPN,WTWT,10
6075,51,OTHEMPN,FIRE,182
6075,51,OTHEMPN,CONS,146
6075,51,RETEMPN,RETL,61
6075,51,RETEMPN,RETR,4
6075,51,AGREMPN,FFRE,1
6075,52,FPSEMPN,FIRE,125
6075,52,HEREMPN,HIED,1
6075,52,HEREMPN,HMED,40
6075,52,HEREMPN,K12E,13
6075,52,HEREMPN,PERS,96
6075,52,HEREMPN,RECS,111
6075,52,HEREMPN,SOCS,6
6075,52,MWTEMPN,MFRG,3
6075,52,MWTEMPN,WTWT,12
6075,52,OTHEMPN,FIRE,34
6075,52,OTHEMPN,CONS,92
6075,52,OTHEMPN,GOVT,37
6075,52,RETEMPN,RETL,52
6075,52,RETEMPN,RETR,15
6075,53,FPSEMPN,FIRE,116
6075,53,HEREMPN,HIED,1
6075,53,HEREMPN,HMED,59
6075,53,HEREMPN,PERS,29
6075,53,HEREMPN,RECS,242
6075,53,HEREMPN,SOCS,2
6075,53,MWTEMPN,WTWT,12
6075,53,OTHEMPN,FIRE,127
6075,53,OTHEMPN,CONS,82
6075,53,RETEMPN,RETL,149
6075,53,RETEMPN,RETR,42
6075,54,FPSEMPN,FIRE,707
6075,54,FPSEMPN,UTIL,9
6075,54,HEREMPN,HIED,16
6075,54,HEREMPN,HMED,1019
6075,54,HEREMPN,K12E,25
6075,54,HEREMPN,PERS,62
6075,54,HEREMPN,RECS,58
6075,54,MWTEMPN,MFRG,9
6075,54,MWTEMPN,WTWT,37
6075,54,OTHEMPN,FIRE,482
6075,54,OTHEMPN,CONS,42
6075,54,RETEMPN,RETL,134
6075,54,RETEMPN,RETR,19
6075,54,AGREMPN,FFRE,2
6075,55,FPSEMPN,FIRE,26
6075,55,HEREMPN,HMED,1
6075,55,HEREMPN,PERS,1
